id,name
0,Fordham South
1,Pelham Parkway
2,Van Cortlandt Village
3,Kingsbridge Heights
4,Williamsbridge-Olinville
5,Mount Hope
6,Belmont
7,Van Nest-Morris Park-Westchester Square
8,Parkchester
9,Allerton-Pelham Gardens
10,University Heights-Morris Heights
11,Eastchester-Edenwald-Baychester
12,Co-op City
13,Woodlawn-Wakefield
14,Bedford Park-Fordham North
15,Norwood
16,Highbridge
17,Claremont-Bathgate
18,Morrisania-Melrose
19,East Tremont
20,Schuylerville-Throgs Neck-Edgewater Park
21,Bronxdale
22,Longwood
23,Westchester-Unionport
24,West Farms-Bronx River
25,Pelham Bay-Country Club-City Island
26,park-cemetery-etc-Bronx
27,Rikers Island
28,Hunts Point
29,Crotona Park East
30,West Concourse
31,East Concourse-Concourse Village
32,Melrose South-Mott Haven North
33,North Riverdale-Fieldston-Riverdale
34,Spuyten Duyvil-Kingsbridge
35,Soundview-Castle Hill-Clason Point-Harding Park
36,Soundview-Bruckner
37,Mott Haven-Port Morris
