id,name
0,Midwood
1,Bedford
2,Borough Park
3,Rugby-Remsen Village
4,Madison
5,Bath Beach
6,Georgetown-Marine Park-Bergen Beach-Mill Basin
7,Canarsie
8,Flatlands
9,Bushwick North
10,Crown Heights South
11,Fort Greene
12,Brooklyn Heights-Cobble Hill
13,Prospect Heights
14,Brownsville
15,East New York (Pennsylvania Ave)
16,Kensington-Ocean Parkway
17,Erasmus
18,Sunset Park East
19,Cypress Hills-City Line
20,Greenpoint
21,Bensonhurst West
22,East Flatbush-Farragut
23,East Williamsburg
24,Brighton Beach
25,Clinton Hill
26,Williamsburg
27,Homecrest
28,Ocean Parkway South
29,East New York
30,Starrett City
31,Seagate-Coney Island
32,West Brighton
33,North Side-South Side
34,Crown Heights North
35,Windsor Terrace
36,Dyker Heights
37,Prospect Lefferts Gardens-Wingate
38,Bay Ridge
39,Sunset Park West
40,Gravesend
41,Bensonhurst East
42,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
43,Flatbush
44,park-cemetery-etc-Brooklyn
45,Ocean Hill
46,Stuyvesant Heights
47,Bushwick South
48,Park Slope-Gowanus
49,Carroll Gardens-Columbia Street-Red Hook
50,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
