bble,lat,lng,2010,2011,2012,2013,2014,neighborhood
1015050121,40.78535,-73.95523,7970000,8040000,8064000,8134000,8197000,12
1000560004,40.70999,-74.01428,65200000,62200000,58640000,68552000,73081640,6
1018610010,40.80016,-73.96421,10600000,10300000,15450000,23175000,29120000,24
1015760037,40.77138,-73.9488,8220000,6910000,7601000,8174000,9810000,8
1009430052,40.7468,-73.9735,21400000,23000000,23706000,25803000,26479000,11
1006140150,40.73689,-74.00197,2880000,3310000,3320000,3098000,3587000,22
1005900137,40.73179,-74.00191,2670000,3060000,4305000,4818000,4586000,22
1004640001,40.72953,-73.98956,1470000,2540000,1666000,1468000,1762000,0
1021700091,40.85838,-73.9314,2430000,2460000,3099000,3441000,4082000,7
1021700096,40.85861,-73.93116,3400000,3210000,3531000,3884000,4444000,7
1022170007,40.8626,-73.92459,1340000,1170000,1065000,1011000,1161000,27
1018720006,40.79774,-73.97065,2740000,2740000,990000,897000,1076000,17
1022170001,40.86241,-73.9249,4830000,5140000,5480000,6125000,6231000,27
1022170009,40.86272,-73.92426,944000,898000,988000,1023000,1177000,27
1015210149,40.78362,-73.95203,3530000,3560000,4627000,5031000,4658000,12
1018060040,40.79742,-73.9333,1920000,2400000,945000,945000,497000,26
1014920130,40.77677,-73.96057,7600000,7660000,10582000,12356000,12258000,12
1008320039,40.74619,-73.98666,5060000,6330000,8376000,10114000,10342000,9
1011480060,40.78143,-73.97884,1120000,974000,1461000,1465000,1478000,17
1008320032,40.74649,-73.98721,6730000,6690000,10035000,12024000,11508000,9
1014250035,40.76837,-73.96,4010000,4140000,4197000,5312000,5455000,13
1007650009,40.74032,-74.00116,1670000,1620000,1619000,1467000,1551000,21
1007650008,40.74035,-74.00124,1600000,1580000,1620000,1426000,1507000,21
1018060043,40.79755,-73.93351,612000,612000,366000,358000,311000,26
1007650001,40.74055,-74.00158,10300000,10900000,13825000,14767000,16675000,21
1018060044,40.79757,-73.93356,612000,612000,366000,358000,311000,26
1007650005,40.74038,-74.00137,3030000,3220000,3930000,4271000,4383000,21
1018060045,40.7976,-73.93361,686000,789000,791000,791000,797000,26
1020480045,40.82071,-73.94601,919000,772000,718000,567000,567000,14
1006940007,40.74812,-74.00675,11200000,11200000,11234000,11332000,11419000,21
1020360013,40.82571,-73.93838,1270000,647000,164000,246000,369000,14
1020360010,40.82576,-73.93851,154000,183000,183000,275000,413000,14
1020360019,40.82549,-73.93786,750000,734000,725000,788000,836000,14
1020360018,40.82554,-73.93799,252000,269000,334000,316000,369000,14
1007700030,40.74277,-73.99777,2680000,2280000,2287000,2505000,3006000,21
1011960015,40.78349,-73.9726,1690000,1150000,1725000,2372000,2387000,17
1017180143,40.80338,-73.9454,909000,1050000,1053000,1085000,1302000,25
1021170061,40.83453,-73.9435,915000,801000,881000,969000,1454000,19
1017180144,40.80342,-73.94552,778000,900000,875000,509000,509000,25
1003100020,40.71662,-73.9894,2120000,2120000,840000,910000,995000,4
1003100027,40.71614,-73.98977,5010000,5640000,6247000,6597000,6853000,4
1013990032,40.76503,-73.96469,4300000,3840000,4300000,4429000,5315000,12
1013990033,40.76514,-73.9644,34200000,34400000,51600000,53262000,53019000,12
1020580001,40.82291,-73.94904,1110000,1600000,1760000,1760000,2640000,3
1020580002,40.82274,-73.94904,1310000,1510000,1515000,1560000,1572000,3
1020580003,40.82271,-73.94898,330000,358000,455000,548000,524000,3
1020580004,40.82269,-73.94893,1360000,1560000,1326000,1366000,1248000,3
1020580005,40.82265,-73.94882,1390000,1600000,1360000,1401000,1238000,3
1020580006,40.82262,-73.94876,1150000,1320000,1620000,1944000,1959000,3
1020580007,40.82259,-73.94871,1390000,1015000,977000,1172000,1127000,3
1020580008,40.82255,-73.94859,1130000,1300000,1691000,2015000,1713000,3
1011670061,40.78211,-73.98241,18800000,18900000,19865000,20996000,20975000,17
1011670064,40.78196,-73.98251,6290000,6070000,6894000,6894000,6443000,17
1015210026,40.78321,-73.95204,2470000,2470000,3125000,2834000,2922000,12
1004420021,40.72362,-73.98972,2410000,1554000,589309,5493000,6592000,0
1004420020,40.72368,-73.98981,1040000,1110000,1422000,1877000,2252000,0
1007440070,40.74488,-74.00192,6240000,6240000,2395000,2973000,2898000,21
1021140052,40.83223,-73.94386,2060000,1920000,2708000,2827000,2621000,19
1005870003,40.73123,-74.0046,1850000,1870000,1876000,1932000,1947000,22
1005870007,40.73148,-74.00474,538000,602000,617000,592000,647000,22
1005870005,40.73132,-74.00467,2150000,2170000,2177000,2612000,3134000,22
1005870004,40.73128,-74.00462,2480000,2510000,3176000,3811000,4520000,22
1011680010,40.78214,-73.98141,23700000,24700000,24055000,26029000,27226000,17
1016160123,40.79616,-73.94713,811000,791000,1066000,1042000,905000,16
1013840014,40.77017,-73.9671,14500000,14100000,11596000,8920000,8828000,12
1013770144,40.76559,-73.96893,5310000,5310000,2039000,2532000,2506000,12
1013890062,40.77384,-73.96477,2240000,1370000,2055000,3082500,3356000,12
1012450025,40.7869,-73.97968,10000000,10700000,11272000,13866000,13862000,17
1012450024,40.78675,-73.97975,1730000,1340000,2010000,2436000,2451000,17
1003960027,40.72844,-73.97638,1120000,1110000,1629000,1446000,1495000,15
1003960026,40.72847,-73.97646,1450000,1640000,1828000,1645000,1687000,15
1003960020,40.72858,-73.97672,7550000,7850000,7881000,8220000,7454700,15
1003960028,40.7284,-73.97629,2480000,1830000,695000,744000,818000,15
1019150045,40.81191,-73.94398,318000,307000,294000,336000,350000,14
1019150044,40.81186,-73.94386,1030000,1180000,1691000,1593000,1354000,14
1019150047,40.81199,-73.94417,853000,853000,351000,278000,278000,14
1019150046,40.81193,-73.94404,853000,853000,351000,278000,900000,14
1019150040,40.81174,-73.94359,294000,880000,883000,891000,898000,14
1019150043,40.81183,-73.9438,880000,880000,330000,261000,260000,14
1019150042,40.81181,-73.94374,375000,785000,1178000,1213000,1031000,14
1019150049,40.81203,-73.9443,768000,768000,351000,278000,278000,14
1019150048,40.81201,-73.94423,336000,131000,144100,159000,239000,14
1015670104,40.77752,-73.94832,2350000,2240000,2726000,2163000,2090000,8
1005290061,40.7259,-73.994,2970000,6640000,5040000,5766000,4613000,22
1022200005,40.86355,-73.9251,5550000,4440000,4701000,5369000,5821000,27
1018960072,40.80793,-73.96443,12200000,10500000,13265000,14183000,15214000,24
1018960077,40.80817,-73.96492,2260000,1900000,2142000,2854000,2477000,24
1018960074,40.80808,-73.96473,2370000,1780000,2670000,2475000,2564000,24
1004650050,40.72963,-73.98734,4920000,5660000,6687000,6337000,7037000,0
1020340003,40.8249,-73.94008,1000000,1320000,1412000,1182000,1282000,14
1010090029,40.76409,-73.97784,60100000,60400000,64792000,77657000,80762000,9
1013970130,40.76386,-73.96572,4570000,4570000,1595000,1980000,1960000,12
1019400131,40.81504,-73.94432,891000,891000,334000,264000,263000,14
1005880054,40.73315,-74.00483,5410000,5200000,5883000,6018000,5988000,22
1005880051,40.73311,-74.00504,2170000,2320000,2878000,2859000,3783000,22
1005880050,40.73307,-74.00517,5500000,5500000,2291000,2621000,2548000,22
1021260010,40.84178,-73.93831,1500000,1510000,1616000,1646000,1728000,19
1005880059,40.73319,-74.00451,3440000,3440000,1430000,1636000,1590000,22
1005880058,40.73317,-74.00457,1120000,1140000,1710000,1975000,1920000,22
1004040038,40.72723,-73.98031,1580000,2480000,1890000,2073000,2271000,0
1004040034,40.72708,-73.98002,3290000,3290000,3151000,2826000,2261000,0
1004040035,40.72711,-73.98009,1010000,1570000,2018000,1739000,1905000,0
1004040036,40.72716,-73.98015,1810000,3320000,2189000,2290000,2509000,0
1001510001,40.71582,-74.00584,82000000,82000000,84991000,85310000,88722000,20
1004040030,40.72732,-73.97982,1840000,1620000,2430000,1620000,1775000,0
1004040031,40.72725,-73.97984,1320000,3520000,3842000,1921000,1782000,0
1004040032,40.7272,-73.97988,1020000,1090000,1635000,1307000,1432000,0
