id,name
0,East Flushing
1,Hollis
2,Woodhaven
3,Ozone Park
4,Whitestone
5,Kew Gardens Hills
6,Pomonok-Flushing Heights-Hillcrest
7,Auburndale
8,Queensboro Hill
9,South Jamaica
10,Jamaica
11,Old Astoria
12,Baisley Park
13,St. Albans
14,Ridgewood
15,Middle Village
16,Queensbridge-Ravenswood-Long Island City
17,Ft. Totten-Bay Terrace-Clearview
18,Flushing
19,Murray Hill
20,North Corona
21,East Elmhurst
22,Briarwood-Jamaica Hills
23,Hunters Point-Sunnyside-West Maspeth
24,Cambria Heights
25,Glendale
26,Bayside-Bayside Hills
27,Fresh Meadows-Utopia
28,Rego Park
29,Corona
30,Elmhurst
31,Glen Oaks-Floral Park-New Hyde Park
32,Kew Gardens
33,Laurelton
34,Jamaica Estates-Holliswood
35,Queens Village
36,Oakland Gardens
37,Lindenwood-Howard Beach
38,Bellerose
39,College Point
40,Douglas Manor-Douglaston-Little Neck
41,Hammels-Arverne-Edgemere
42,Far Rockaway-Bayswater
43,Astoria
44,Rosedale
45,Richmond Hill
46,South Ozone Park
47,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
48,Jackson Heights
49,Woodside
50,Springfield Gardens North
51,Springfield Gardens South-Brookville
52,Maspeth
53,Elmhurst-Maspeth
54,Forest Hills
55,park-cemetery-etc-Queens
56,Steinway
57,Airport
