id,name
0,Arden Heights
1,New Dorp-Midland Beach
2,Mariner's Harbor-Arlington-Port Ivory-Graniteville
3,Grasmere-Arrochar-Ft. Wadsworth
4,Oakwood-Oakwood Beach
5,Stapleton-Rosebank
6,Grymes Hill-Clifton-Fox Hills
7,Westerleigh
8,Port Richmond
9,West New Brighton-New Brighton-St. George
10,New Brighton-Silver Lake
11,Rossville-Woodrow
12,park-cemetery-etc-Staten Island
13,Charleston-Richmond Valley-Tottenville
14,Old Town-Dongan Hills-South Beach
15,New Springville-Bloomfield-Travis
16,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
17,Annadale-Huguenot-Prince's Bay-Eltingville
18,Great Kills
